id:,name,englishName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,massValue,massExponent,volValue,volExponent,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,aroundPlanet,discoveredBy,discoveryDate,alternativeName,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode
steins,(2867) Å teins,2867 Å teins,FALSE,353495000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,N. S. Tchernykh,04/11/1969,1969 VC - 1954 QL,0,0,0,0,0
eris,(136199) Ã‰ris,136199 Eris,TRUE,10180122852,5765732799,14594512904,0.44068,44.0445,1.66,22,6.59,9,2.52,0.82,1380,1163,0,0,0,,203830,25.92,null,Michael E. Brown,05/01/2005,2003 UB313,0,0,205.989,151.639,35.951
astree,(5) AstrÃ©e,5 Astraea,FALSE,384877000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Karl Ludwig Hencke,08/12/1845,1969 SE,0,0,0,0,0
pholus,(5145) Pholus,5145 Pholus,FALSE,3055227000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,David Rabinowitz / Spacewatch,09/01/1992,1992 AD,0,0,0,0,0
castalia,(4769) Castalia,4769 Castalia,FALSE,159053000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Eleanor F. Helin,09/08/1989,1989 PB,0,0,0,0,0
remus,RÃ©mus,Remus,FALSE,706,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,sylvia,Franck Marchis,09/08/2005,S/2004 (87) 1,0,0,0,0,0
hector,(624) Hector,624 Hektor,FALSE,781183000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,August Kopff,10/02/1907,1907 XM - 1948 VD,0,0,0,0,0
kleopatra,(216) KlÃ©opatra,216 Kleopatra,FALSE,417796000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Johann Palisa,10/04/1880,A905 OA - A910 RA,0,0,0,0,0
cruithne,(3753) Cruithne,3753 Cruithne,FALSE,149260000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,J. Duncan Waldron,10/10/1986,1983 UH - 1986 TO,0,0,0,0,0
junon,(3) Junon,3 Junon,FALSE,399480000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,Karl L. Harding,12/01/1804,,0,0,0,0,0
